cluster_type,cluster_id,size,addresses,pattern,risk_score
temporal,30,5,"0x7e86e12c211a0aa07c30a0a79a61d4de5bf345aa,0x9ec295471d21cd4d5ac8189a786ef20c3bd2383c,0x8155694421f412f57dd5436b820ffcb10df89102,0x526ac3331e5bcd51ec13b57a7e8001462b6f8f8b,0x24b87355015378d5b897033314c506e6447c55fc",,50
temporal,31,4,"0x47996dd7c134d19ba55f5d9c5ebc9f531565cdc3,0x6982c5e1e7ef8b2e2ddacd318eb54113c909bb8e,0xe335af250085414f983b793c70aa93b5dfe6107d,0x99c47bcdbd65654135580b53df5019886d614557",,40
temporal,32,2,"0xaceae6296ce9e4f655487522217a7f6fdc830245,0x7ef8c2ca4ed7b838885404e7f74fa8eda11b333c",,20
temporal,33,3,"0xf0b4bcac9c97a158decba63a01017796d8b28d86,0x9bbee460ece50ec0f2035814e55b6a629161cae7,0xe2464094bfb1930c0ca5a3901684f26abe83975e",,30
temporal,34,5,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x338968c09457643223cf53fd6aa5a62e9269219e,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1",,50
temporal,35,7,"0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0xeda87d8816ee3c93201e87589710eddf02e6db20",,70
temporal,36,6,"0x0b29ded5e84904dc9757a9816b963727bffaefec,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca",,60
temporal,37,4,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0x99dd5760049ac433450dfb620f3d9100e2042351",,40
temporal,38,8,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x7be58ef4028fdf02dd2c38a1e26415e5ef1207be,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0xd2ce809e71f78aaf29b78f553dd9478fa5b8f3f2,0x3dc78170d2e761ca84a403f001fff1cbb48cbcac,0x99dd5760049ac433450dfb620f3d9100e2042351",,80
temporal,39,7,"0x338968c09457643223cf53fd6aa5a62e9269219e,0xa7cb6f084b8385d7831971efe24ee5e4439288d6,0xcd2fd81aa323a79da7790213eee48d4057778e47,0xaff0a4bdad7db8fd757959a8b8824a4d54af4d4c,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e,0x06dfd304b86f971372e38b0c9315eac0848dbe9f,0xeda87d8816ee3c93201e87589710eddf02e6db20",,70
temporal,40,8,"0xb98a75a50983abe9512ef4d543a9f680d344f07c,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xac8bca5edcb9124eeb82bfff837bf444435a3cf4,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0x279b73950f5838cae3b05ccd85060d29a68e0ce1,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0xadb9253e2a83fb17b019dcbbc066a1f66903dac8,0x69b7eee509299db6be2cde2a2ece9e4311cd9368",,80
temporal,41,3,"0x651cd440f59ab7d256bd1ed734ed8a8fd5170b7b,0x5ea6f630df979e8b4d861a588d6d6cc519916f5a,0xe7e8c9b24a157a8ef1d5d0166070826c23988bac",,30
temporal,42,3,"0xb2fdd9c4d1c9991a5a1f6d2b76f8ac59f3684226,0x6a37707f6a3ceae5eff6e76e197d398530e52f0b,0xd5ffcd736d5831252de512dfb682096971989bd1",,30
temporal,43,3,"0xaeb0ed20aadd2602da1ac8fcfb3572eea9adeda1,0xd2336a629a1e8f429f15b73d52b2958808948cfa,0xc7e696acf931b25893dd90c7cba23a5cbaad6006",,30
temporal,44,5,"0x7b7ebceac5f460068fa6d0b7ddaafa2a5b89b029,0x7029da15adae9cb76ffa6f97801a3aaa2c0bc98a,0x92fd6a1bd1fe0834b39401221b8afa897b7ef774,0x193ee9eea53677fd05db368b341ae038479abaf8,0x6d98d448d10000c54bd7b5b7d1ef2d1ce16a1a5e",,50
temporal,45,5,"0x1c5bcb0c4a44a536fcf7608525a389a06cce5276,0x296e5b916349edb04607df1c73ec2edb9ec6a95d,0x45559492d0431b6796251844ed36204bd9aa7dd2,0x9b9097a0a82d223cb62cc458a8697ff138b57dde,0xeddb18cb799fec8087396a8d00cdb6feb1df6d49",,50
temporal,46,2,"0x3b780b9012858d85503232bb4c4379cfd8541c61,0xcefdb947426cbdeb8392e9483c00e2cdbce80d4e",,20
temporal,47,9,"0x156b9875ec5d4877b6ef85244b1dbf387e827e55,0x0b29ded5e84904dc9757a9816b963727bffaefec,0xe7cff27fbe9cdbbc73d3f98bd67576d659625cf9,0xb9a8eaded121572cd73d0772ac53b23508b27664,0x16e0fbd6440bb8226382c1b5a0bafe870a851bd1,0x9c3a8920fe2cbedeb4412f75ae78fca1799f0fdf,0x99713d336f3133b60a19fe1fea61cd2f2794d9ca,0x69b7eee509299db6be2cde2a2ece9e4311cd9368,0x99dd5760049ac433450dfb620f3d9100e2042351",,90
temporal,48,2,"0xcd2fd81aa323a79da7790213eee48d4057778e47,0xc14c8a69fd88a3a5fa8f6a7ebc58569ccb8cd87e",,20
